window,start_sample,end_sample,start_time_sec,end_time_sec,prediction,probability,status,latency_from_function_sec,computation_time_sec
109,138240,139520,540.0,545.0,0,0.16666666666666666,OK,0.10093303199982984,0.10095680599988555
110,139520,140800,545.0,550.0,1,0.8333333333333334,OK,0.05506703299988658,0.055084395999983826
111,140800,142080,550.0,555.0,0,0.36666666666666664,OK,0.10119628900019961,0.10121369099988442
112,142080,143360,555.0,560.0,0,0.3333333333333333,OK,0.09119436099990708,0.09121321600014198
113,143360,144640,560.0,565.0,1,1.0,OK,0.04079310599991004,0.04081300200004989
114,144640,145920,565.0,570.0,1,1.0,OK,0.10130104200015921,0.10131914499970662
115,145920,147200,570.0,575.0,0,0.0,OK,0.05230433799988532,0.05232112900011998
116,147200,148480,575.0,580.0,0,0.3333333333333333,OK,0.07171548699989216,0.071736546000011
117,148480,149760,580.0,585.0,1,1.0,OK,0.07923489799986783,0.07925332300010268
118,149760,151040,585.0,590.0,0,0.1,OK,0.08370036599990271,0.08372001199995793
119,151040,152320,590.0,595.0,0,0.06666666666666667,OK,0.10110780500008332,0.10113051700000142
120,152320,153600,595.0,600.0,1,0.9666666666666667,OK,0.09369856700004675,0.09371606900003826
