window,start_sample,end_sample,start_time_sec,end_time_sec,prediction,probability,status,latency_from_function_sec,computation_time_sec
81,102400,103680,400.0,405.0,1,1.0,OK,0.05008202800036088,0.05010571299999356
82,103680,104960,405.0,410.0,1,0.9666666666666667,OK,0.06934413699991637,0.06936087799977031
83,104960,106240,410.0,415.0,1,1.0,OK,0.025910412000030192,0.025930189000064274
84,106240,107520,415.0,420.0,1,0.7,OK,0.025986592999743152,0.02600421599981928
85,107520,108800,420.0,425.0,1,1.0,OK,0.06910620700000436,0.069125854000049
86,108800,110080,425.0,430.0,1,1.0,OK,0.03172335099998236,0.03174182500015377
87,110080,111360,430.0,435.0,1,0.9333333333333333,OK,0.03236053900036495,0.032377751000240096
88,111360,112640,435.0,440.0,1,0.9333333333333333,OK,0.038032107000162796,0.038052263999816205
89,112640,113920,440.0,445.0,1,0.9,OK,0.0527933230000599,0.05281245800006218
90,113920,115200,445.0,450.0,1,1.0,OK,0.04944800600014787,0.04946603000007599
91,115200,116480,450.0,455.0,1,0.9666666666666667,OK,0.022801362000336667,0.022827090000191674
92,116480,117760,455.0,460.0,1,1.0,OK,0.0822917589998724,0.08231402999990678
93,117760,119040,460.0,465.0,1,0.8,OK,0.10074490099987088,0.1007681539999794
94,119040,120320,465.0,470.0,1,0.9333333333333333,OK,0.05007803100033925,0.05009979200031012
95,120320,121600,470.0,475.0,1,0.7666666666666667,OK,0.03528219200006788,0.03529957299997477
96,121600,122880,475.0,480.0,1,0.9666666666666667,OK,0.025602913000057015,0.02562140800000634
97,122880,124160,480.0,485.0,1,1.0,OK,0.022758755000268138,0.022779893999995693
98,124160,125440,485.0,490.0,1,0.9666666666666667,OK,0.05403430699971068,0.05405433500027357
99,125440,126720,490.0,495.0,1,1.0,OK,0.0660789990001831,0.06609796499969889
100,126720,128000,495.0,500.0,1,0.5333333333333333,OK,0.048816097999861086,0.04883743800019147
101,128000,129280,500.0,505.0,1,1.0,OK,0.04415288500013048,0.044175867999911134
102,129280,130560,505.0,510.0,1,1.0,OK,0.061963389000084135,0.06198296599995956
103,130560,131840,510.0,515.0,1,0.6333333333333333,OK,0.08530483099957564,0.0853247680001914
104,131840,133120,515.0,520.0,1,1.0,OK,0.039881756999875506,0.039902115000131744
105,133120,134400,520.0,525.0,1,0.9333333333333333,OK,0.06522051199999623,0.06524312400006238
106,134400,135680,525.0,530.0,1,1.0,OK,0.03136794400006693,0.03138852099982614
107,135680,136960,530.0,535.0,1,1.0,OK,0.025368510000134847,0.025385201000062807
108,136960,138240,535.0,540.0,1,1.0,OK,0.05830760900016685,0.058333456000127626
109,138240,139520,540.0,545.0,1,1.0,OK,0.04366737700001977,0.04368469000019104
110,139520,140800,545.0,550.0,1,0.9333333333333333,OK,0.021361930999773904,0.021380444999977044
111,140800,142080,550.0,555.0,1,0.9666666666666667,OK,0.07286513799999739,0.07288349100008418
112,142080,143360,555.0,560.0,1,0.9333333333333333,OK,0.10077566800009663,0.10079530500024703
113,143360,144640,560.0,565.0,1,0.9333333333333333,OK,0.038915650000035384,0.03893266199975187
114,144640,145920,565.0,570.0,1,0.9333333333333333,OK,0.054893845999686164,0.05491502599988962
115,145920,147200,570.0,575.0,1,1.0,OK,0.03257854299999963,0.03259794799987503
116,147200,148480,575.0,580.0,1,0.9333333333333333,OK,0.03742805000001681,0.03745417800018913
117,148480,149760,580.0,585.0,1,0.8,OK,0.07344380800032013,0.07346717100017486
118,149760,151040,585.0,590.0,1,0.9333333333333333,OK,0.1017745960002685,0.10179881099975319
119,151040,152320,590.0,595.0,1,1.0,OK,0.05454027199994016,0.05456059100015409
120,152320,153600,595.0,600.0,1,1.0,OK,0.04390170999977272,0.04392263899990212
