timestampMs,poorSignal,AF7,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1755966458867,26,500,"1,10E+06",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458867,26,165,"3,63E+06",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458867,26,-96,"-2,11E+01",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458889,26,-70,"-1,54E+05",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458914,26,-259,"-5,69E+06",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458927,26,-855,"-1,88E+08",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459023,26,-899,"-1,98E+08",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459027,26,-461,"-1,01E+12",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459027,26,84,"1,85E+11",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459027,26,240,"5,27E+02",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459027,26,424,"9,32E+10",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459027,26,203,"4,46E+10",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459028,26,-109,"-2,40E+06",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459028,26,-96,"-2,11E+01",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459028,26,77,"1,69E+06",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459028,26,-414,"-9,10E+10",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459028,26,-1102,"-2,42E+07",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459044,26,-801,"-1,76E+08",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459044,26,10,"2,20E+03",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459045,26,219,"4,81E+06",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459045,26,502,"1,10E+12",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459045,26,390,"8,57E+05",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459045,26,294,"6,46E+05",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459045,26,-30,"-6,59E+03",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966459046,26,-73,"-1,60E+11",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459046,26,-237,"-5,21E+11",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459047,26,-1030,"-2,26E+07",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459047,26,-883,"-1,94E+12",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459047,26,-317,"-6,97E+06",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459047,26,182,"4,00E+05",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459047,26,785,"1,72E+08",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459048,26,777,"1,71E+08",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459048,26,163,"3,58E+11",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459048,26,-7,"-1,54E+04",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459048,26,-23,"-5,05E+04",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459049,26,-339,"-7,45E+10",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459049,26,-661,"-1,45E+08",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459050,26,-712,"-1,56E+05",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459050,26,-189,"-4,15E+06",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459050,26,314,"6,90E+05",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459050,26,425,"9,34E+06",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459051,26,503,"1,11E+08",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459051,26,177,"3,89E+11",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459051,26,-70,"-1,54E+05",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459051,26,-52,"-1,14E+04",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459052,26,-266,"-5,84E+05",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459052,26,-868,"-1,91E+06",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459052,26,-1127,"-2,48E+08",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459052,26,-423,"-9,29E+06",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459052,26,99,"2,18E+11",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459053,26,247,"5,43E+06",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459053,26,441,"9,69E+10",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459053,26,214,"4,70E+05",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459053,26,-120,"-2,64E+03",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459054,26,-108,"-2,37E+11",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459054,26,76,"1,67E+04",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459054,26,-419,"-9,21E+10",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459054,26,-1074,"-2,36E+07",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459054,26,-458,"-1,01E+07",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459055,26,98,"2,15E+05",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459055,26,520,"1,14E+05",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459055,26,497,"1,09E+12",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459055,26,610,"1,34E+07",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459056,26,268,"5,89E+11",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459056,26,-12,"-2,64E+02",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459056,26,-39,"-8,57E+04",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459056,26,-218,"-4,79E+05",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459056,26,-749,"-1,65E+08",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
1755966459057,26,-827,"-1,82E+12",0,0,0,49942,768744,6304,200632,17421,16762126,12492,452637,Tag0,unknown
